Title,Rating,Price,price,rating
"Pro Control Switch 2 with Charging Dock para Nintendo Switch2/OLED/Lite,FUNLAB Controller Switch con Base de Carga, luminex Mando con 7 LED RGB Colores/Palanca/Turbo/Gamepad de movimiento - Patrón Luminoso Negro",4.8 de 5 estrellas,$899.00,899.0,4.8
mumba Funda para Nintendo Switch 2 [Titan ] [Compatible con 5 Tarjetas de Juego y 2 Tarjetas TF] Cubierta Protectora de Agarre de TPU Resistente Estuche Diseño de Joy-con (Negro),4.6 de 5 estrellas,$719.10,719.1,4.6
"Estuche Delgado de Transporte para Nintendo Switch 2 2025, Carcasa Dura de Viaje con 12 Ranuras para Tarjetas de Juego, Bolsa Protectora para Consola Switch 2 y Accesorios de Juegos (Blanco)",5.0 de 5 estrellas,$499.00,499.0,5.0
mumba Funda para Nintendo Switch 2 Cubierta Protectora de Agarre de TPU Accesorios Resistente Estuche Compatibles con Joy-con Controller y Nintendo Switch 2 - FrostBlack,4.4 de 5 estrellas,$593.10,593.1,4.4
Nintendo Switch™ 2 + Mario Kart™ World Bundle versión internacional,4.0 de 5 estrellas,"$9,639.00",9639.0,4.0
Nintendo switch 2 Internacional,4.5 de 5 estrellas,"$8,999.00",8999.0,4.5
Nintendo Switch™ 2 + Mario Kart™ World Bundle,4.5 de 5 estrellas,"$11,999.00",11999.0,4.5
Nintendo Switch™ 2 + Mario Kart™ World Bundle,4.6 de 5 estrellas,"$11,999.00",11999.0,4.6
Nintendo Switch 2 Pro Controller,4.8 de 5 estrellas,"$1,799.00",1799.0,4.8
Nintendo Switch 2,4.6 de 5 estrellas,"$12,561.11",12561.11,4.6
Donkey Kong Bananza,4.8 de 5 estrellas,"$1,499.46",1499.46,4.8
Super Mario Part Jamboree - Nintendo Switch 2 Edition + Jamboree TV,4.9 de 5 estrellas,"$1,499.00",1499.0,4.9
Mario Kart World,4.7 de 5 estrellas,"$1,647.10",1647.1,4.7
Pokémon Legends: Z-A – Nintendo Switch™ 2 Edition,No rating,"$1,749.00",1749.0,0.0
Nintendo Switch 2 AC Adapter,4.7 de 5 estrellas,$869.00,869.0,4.7
Nintendo Switch 2 + Mario Kart World Bundle,4.6 de 5 estrellas,"$13,999.00",13999.0,4.6
Joy-Con 2 (L)/(R) Light Blue/Light Red for Nintendo Switch 2,4.8 de 5 estrellas,"$2,490.99",2490.99,4.8
"RDS - Licensed Nintendo Switch 2, Nintendo Switch OLED & Nintendo Switch Systems Game Traveler",4.9 de 5 estrellas,$875.17,875.17,4.9
The Legend of Zelda Breath of the Wild – Nintendo Switch 2 Edition,4.5 de 5 estrellas,"$1,425.00",1425.0,4.5
"amFilm Compatible con Nintendo Switch 2 Modelo 2025 Protector Pantalla, Mica Cristal Vidrio Templado, Cobertura Total de 7.9 Pulgadas, Transparente Ultra HD, Anti-rasguños(2 Piezas)",4.7 de 5 estrellas,$205.00,205.0,4.7
"Estuche para Juegos Switch 2 Compatible con Nintendo Switch2/1, 48 Juegos & 48 Tarjetas de Micro SD,FUNLAB Porta Juegos de Switch,Funda Caja Juegos Switch,Game Card Case - Rojo",4.8 de 5 estrellas,$250.17,250.17,4.8
"i-BLASON Funda para Nintendo Switch 2 Cubierta Protectora de Agarre de TPU Accesorios Resistente Estuche Compatibles con Joy-con Controller, Translúcido Mate Case Negro",4.0 de 5 estrellas,$459.00,459.0,4.0
SUPCASE Funda para Nintendo Switch 2 [UBPro Series] Cubierta Protectora de Agarre de TPU Accesorios Resistente Estuche compatibles con Nintendo Switch 2 (Negro),4.6 de 5 estrellas,$599.00,599.0,4.6
Mumba Funda para Nintendo Switch 2 [Blade Series] Cubierta Protectora de Agarre de TPU Accesorios Resistente Estuche Compatibles con Nintendo Switch 2 y Joy-Con Controller (Negro),4.5 de 5 estrellas,$656.10,656.1,4.5
"LONGLIV Kit de Accesorios 25 en 1 para Nintendo Switch 2 (2025), que Incluye un Estuche de Transporte, Una Funda Transparente, un Protector de Pantalla, una Funda Protectora para Joy-Con, un Protector Para el Pulgar, etc., Perfecto para la Protección de Switch 2",4.7 de 5 estrellas,$399.00,399.0,4.7
Nintendo Switch 2 Camera,4.5 de 5 estrellas,"$1,056.32",1056.32,4.5
